Type of Wages,Type of Farm Workers,Geolocation,Gender,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,ADM1_CODE
Real Wage Rate,Palay Workers,Region IX (Zamboanga Peninsula),Male,116.19,120.03,117.87,126.51,120.7,125.51,120.32,118.45,121.12,122.35,114.88,113.78,115.55,122.66,116.94,119.62,120.8,128.53,172.98,170.92,160.76,172.71,174.12,234.9,244.83,269.18,PH090000000
Real Wage Rate,Palay Workers,Region V (Bicol Region),Female,96.22,99.43,114.32,127.19,120.09,108.92,111.01,110.79,110.69,114.48,107.37,104.25,111.91,114.93,125.9,123.62,120.51,124.85,166.71,170.07,166.77,171.85,172.26,235.33,245.89,251.57,PH050000000
Real Wage Rate,Palay Workers,Region V (Bicol Region),Male,127.93,138.92,130.4,138.77,138.03,133.24,137.18,130.03,129.02,127.32,119.65,119.86,117.74,124.63,129.95,125.77,125.74,132.95,172.24,181.69,180.23,187.93,188.57,254.1,272.93,271.19,PH050000000
Real Wage Rate,Palay Workers,Region VI (Western Visayas),Female,91.92,110.16,112.25,124.32,114.43,116.4,120.4,113.69,108.51,113.25,109.5,104.96,109.04,115.53,114.79,116.17,120.31,122.42,157.53,162.7,154.73,158.4,160.88,226.02,237.69,247.12,PH060000000
Real Wage Rate,Palay Workers,Region VI (Western Visayas),Male,116.25,131.63,134.25,149.43,145.76,150.2,151.05,147.03,139.71,129.16,129.97,126.23,124.1,122.9,126.94,123.38,126.16,127.02,165.63,168.83,161.14,169.24,170.32,253.25,259.09,255.5,PH060000000
Real Wage Rate,Palay Workers,Region VII (Central Visayas),Female,97.68,104.47,103.22,106.14,98.76,85.92,89.55,87.22,91.01,88.68,89.22,84.45,85.57,98.9,95.29,95.56,96.9,100.84,139.5,153.42,148.21,153.09,157.72,206.85,208.01,205.87,PH070000000
Real Wage Rate,Palay Workers,Region VII (Central Visayas),Male,104.9,112.25,105.92,109.39,109.69,95.21,93.98,91.65,93.9,95.66,93.07,89.91,93.39,100.45,99.75,100.4,103.34,106.13,148.54,160.69,153.89,161.39,161.28,216.64,229.05,250.07,PH070000000
Real Wage Rate,Palay Workers,Region VIII (Eastern Visayas),Female,97.24,102.05,106.97,101.78,102.31,103.08,106.13,103.56,101.49,107.95,104.76,102.28,102.73,114.76,105.34,100.17,99.41,100.65,135.01,137.82,137.33,150.53,158.58,187.06,214.43,248.51,PH080000000
Real Wage Rate,Palay Workers,Region VIII (Eastern Visayas),Male,108.93,111.13,117.07,121.28,134.18,127.39,126.31,120.94,119.12,114.9,110.73,108.98,106.96,113.63,107.45,102.31,104.33,107.1,140.48,140.44,139.6,154.48,161.25,228.4,231.06,253.81,PH080000000
Real Wage Rate,Palay Workers,Region X (Northern Mindanao),Female,123.11,125.48,143.42,181.2,153.39,159.17,141.01,134.37,127.34,125.11,116.31,111.49,115.31,121.71,125.18,121.01,120.07,126.05,159.4,158.38,161.34,171.59,175.09,244.94,234.86,262.24,PH100000000
Real Wage Rate,Palay Workers,Region X (Northern Mindanao),Male,127.42,132.74,132.23,171.91,165.66,156.88,146.58,139.94,141.81,135.04,126.33,118.03,116.55,122.97,128.88,124.48,122.4,125.23,169.44,168.07,171.65,183.42,185.95,261.7,260.26,275.84,PH100000000
Real Wage Rate,Palay Workers,Region XI (Davao Region),Female,113.9,117.76,110.94,122.54,116.16,124.83,116.26,112.24,104.56,115.87,110.64,107.36,114.04,121.06,119.48,117.16,121.72,128.12,177.87,169.44,171.82,185.65,189.63,250.66,266.99,281.57,PH110000000
Real Wage Rate,Palay Workers,Region XI (Davao Region),Male,125.45,131.45,129.64,127.09,119.29,112.63,112.24,111.45,118.21,123.97,118.13,124.25,120.46,122.94,120.63,121.04,121.97,131.11,180.69,182.15,179.34,190.62,205.88,295.75,284.28,306.77,PH110000000
Real Wage Rate,Palay Workers,Region XII (SOCCSKSARGEN),Female,105.29,125.93,128.54,151.87,137.26,133.36,129.19,126.95,136.98,135.81,126.95,117.4,118.13,120.61,118.47,120.97,125.5,134.87,179.43,167.45,169.16,177.95,179.63,229.74,245.92,258.87,PH120000000
Real Wage Rate,Palay Workers,Region XII (SOCCSKSARGEN),Male,118.67,135.12,147.97,157.1,150.82,142.97,142.54,138.37,157.26,141.66,132.43,126.11,122.68,129.21,129.01,128.9,132.85,140.86,188.41,193.11,188.42,200.61,202.17,254.15,279.5,298.58,PH120000000
Real Wage Rate,Palay Workers,Region XIII (Caraga),Female,117.1,121.03,116.4,143.51,129.92,111.73,116.46,113.1,112.71,120.81,119.39,116.79,114.13,117.91,114.29,121.24,127.89,132.7,171.15,178.96,177.57,193.67,194.11,319.42,303.69,298.24,PH160000000
Real Wage Rate,Palay Workers,Region XIII (Caraga),Male,124.96,136.28,126.84,127.08,135.07,124.66,130.12,128.38,126.08,125.79,126.07,125.66,124.91,122.39,118.48,125.26,133.89,140.08,182.55,187.78,185.68,199.97,200.72,311.3,301.48,297.87,PH160000000
Real Wage Rate,Sugarcane Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH150000000
Real Wage Rate,Sugarcane Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH150000000
Real Wage Rate,Sugarcane Workers,Cordillera Administrative Region (CAR),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Real Wage Rate,Sugarcane Workers,Cordillera Administrative Region (CAR),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Real Wage Rate,Sugarcane Workers,MIMAROPA Region,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH170000000
Real Wage Rate,Sugarcane Workers,MIMAROPA Region,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH170000000
Real Wage Rate,Sugarcane Workers,Region I (Ilocos Region),Female,,133.33,141.56,,,,,,,,,,,,,,,,,,188.98,,245.06,,301.72,,PH010000000
Real Wage Rate,Sugarcane Workers,Region I (Ilocos Region),Male,110.46,128.12,129.02,150.81,138.92,134.0,197.73,137.88,138.7,148.56,137.96,146.21,138.99,158.71,161.78,159.49,156.07,152.97,210.72,244.98,230.43,243.54,244.07,372.8,289.79,296.85,PH010000000
Real Wage Rate,Sugarcane Workers,Region II (Cagayan Valley),Female,,,,101.68,111.41,128.89,128.12,119.01,125.04,131.27,133.08,128.88,142.76,144.83,136.82,130.61,127.92,124.91,166.96,180.2,165.01,173.55,175.84,229.1,227.49,254.8,PH020000000
Real Wage Rate,Sugarcane Workers,Region II (Cagayan Valley),Male,,,,139.87,133.93,149.42,140.08,126.79,126.31,151.98,166.54,160.11,151.42,148.23,137.36,132.08,128.86,125.84,179.22,182.61,168.02,177.38,178.66,223.58,233.45,266.05,PH020000000
Real Wage Rate,Sugarcane Workers,Region III (Central Luzon),Female,100.21,111.75,112.01,140.6,138.69,167.34,137.2,116.26,120.44,141.2,147.07,147.3,147.52,145.47,138.51,158.07,153.85,150.22,200.76,196.95,189.25,196.13,223.02,314.05,261.74,271.53,PH030000000
Real Wage Rate,Sugarcane Workers,Region III (Central Luzon),Male,133.23,143.08,140.57,145.3,136.85,135.18,161.85,153.09,152.3,161.81,177.64,175.27,166.22,163.6,148.5,160.47,155.58,152.09,220.11,224.14,216.75,226.91,228.21,246.41,275.63,278.91,PH030000000
Real Wage Rate,Sugarcane Workers,Region IV-A (CALABARZON),Female,130.99,137.58,154.99,177.24,,,212.72,130.27,132.89,143.96,143.01,153.27,156.0,152.41,141.92,141.45,,,182.9,196.13,192.93,202.0,212.92,300.29,223.68,277.42,PH040000000
Real Wage Rate,Sugarcane Workers,Region IV-A (CALABARZON),Male,134.43,147.93,148.91,155.65,169.37,199.71,206.42,156.12,157.45,154.32,161.58,170.81,162.32,158.46,146.95,143.8,138.85,136.02,176.81,217.59,207.81,216.96,217.78,280.07,224.74,288.31,PH040000000
Real Wage Rate,Sugarcane Workers,Region IX (Zamboanga Peninsula),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH090000000
Real Wage Rate,Sugarcane Workers,Region IX (Zamboanga Peninsula),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH090000000
Real Wage Rate,Sugarcane Workers,Region V (Bicol Region),Female,102.94,112.48,106.4,149.33,146.55,141.93,,,119.61,109.02,115.2,110.8,110.54,112.64,,,86.55,,,,,143.31,161.64,209.61,210.2,220.68,PH050000000
Real Wage Rate,Sugarcane Workers,Region V (Bicol Region),Male,122.02,127.02,124.84,129.29,124.03,146.19,128.74,124.01,126.6,122.75,120.47,123.85,119.08,119.54,109.42,104.84,107.22,107.45,138.16,154.2,151.95,160.98,162.87,218.65,220.92,243.9,PH050000000
Real Wage Rate,Sugarcane Workers,Region VI (Western Visayas),Female,96.95,99.13,98.46,102.62,109.11,124.69,127.04,126.53,106.93,115.01,117.6,115.46,129.66,113.66,113.36,111.7,108.69,102.1,140.86,140.88,131.57,143.03,164.95,182.37,209.13,260.91,PH060000000
Real Wage Rate,Sugarcane Workers,Region VI (Western Visayas),Male,113.03,120.89,123.01,121.74,143.26,166.95,156.53,153.46,154.85,140.97,128.34,140.51,135.3,137.3,126.05,119.6,116.53,115.88,162.49,168.93,155.41,169.0,170.9,206.13,235.23,247.51,PH060000000
Real Wage Rate,Sugarcane Workers,Region VII (Central Visayas),Female,101.46,100.52,96.69,97.73,109.89,134.81,119.85,112.42,109.3,97.21,101.98,94.7,102.85,92.89,84.55,83.17,80.72,95.16,137.03,134.25,135.93,139.77,141.6,210.72,211.43,212.76,PH070000000
Real Wage Rate,Sugarcane Workers,Region VII (Central Visayas),Male,115.8,117.72,115.97,118.62,116.61,136.6,135.03,128.42,125.47,120.74,109.05,120.95,114.78,113.72,104.44,102.28,102.63,112.62,167.97,164.83,159.47,164.57,164.71,211.78,218.53,228.28,PH070000000
Real Wage Rate,Sugarcane Workers,Region VIII (Eastern Visayas),Female,106.81,121.56,126.16,125.45,,111.73,142.71,126.55,123.91,129.44,129.6,123.16,126.24,123.49,108.97,105.68,102.77,106.52,137.12,136.11,140.3,147.36,154.42,,218.0,222.06,PH080000000
Real Wage Rate,Sugarcane Workers,Region VIII (Eastern Visayas),Male,114.76,127.09,129.09,130.95,125.7,143.29,157.77,152.99,143.6,136.08,136.0,138.28,130.86,127.08,112.09,107.33,105.62,108.54,144.48,163.94,156.16,164.33,164.37,220.99,207.29,235.84,PH080000000
Real Wage Rate,Sugarcane Workers,Region X (Northern Mindanao),Female,,,,75.21,81.91,99.37,100.0,98.96,97.81,112.64,111.1,102.52,105.46,101.6,93.88,91.21,85.02,91.48,118.13,122.89,117.51,122.69,136.17,215.69,167.12,228.74,PH100000000
Real Wage Rate,Sugarcane Workers,Region X (Northern Mindanao),Male,,,,120.01,126.4,131.29,143.8,135.58,123.3,121.01,124.65,125.83,119.2,115.62,106.79,100.95,98.28,100.37,137.77,133.15,147.87,152.44,154.42,202.0,242.28,235.21,PH100000000
Real Wage Rate,Sugarcane Workers,Region XI (Davao Region),Female,88.88,106.54,106.77,103.96,109.86,135.39,130.94,128.63,143.8,141.05,134.21,128.14,127.33,122.69,115.53,111.32,97.37,111.2,144.38,147.14,161.45,168.15,168.76,197.17,,169.97,PH110000000
Real Wage Rate,Sugarcane Workers,Region XI (Davao Region),Male,112.91,120.38,126.51,121.68,123.74,121.08,137.9,153.15,146.84,143.14,140.58,151.93,144.04,144.5,133.33,125.2,120.67,120.11,159.43,171.04,169.91,176.97,179.34,289.39,307.85,317.26,PH110000000
Real Wage Rate,Sugarcane Workers,Region XII (SOCCSKSARGEN),Female,97.36,99.1,100.26,97.82,97.23,119.59,115.75,116.4,113.19,130.37,119.82,117.31,119.43,105.65,96.52,97.47,89.05,90.75,131.2,138.82,135.48,143.54,146.24,210.15,223.83,218.53,PH120000000
Real Wage Rate,Sugarcane Workers,Region XII (SOCCSKSARGEN),Male,107.51,112.12,112.29,118.85,126.85,146.18,135.25,156.12,152.72,146.47,148.08,138.29,132.82,131.5,119.16,117.9,114.45,111.3,146.37,153.09,153.58,162.69,163.39,218.93,230.26,225.34,PH120000000
Real Wage Rate,Sugarcane Workers,Region XIII (Caraga),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH160000000
Real Wage Rate,Sugarcane Workers,Region XIII (Caraga),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH160000000
