"Agricultural Wage Rates of Farm Workers by Type of Wages, Type of Farm Workers, Geolocation, Year and Sex"

"Type of Wages","Type of Farm Workers","Geolocation","1975 ..Male","1975 ..Female","1976 ..Male","1976 ..Female","1977 ..Male","1977 ..Female","1978 ..Male","1978 ..Female","1979 ..Male","1979 ..Female","1980 ..Male","1980 ..Female","1981 ..Male","1981 ..Female","1982 ..Male","1982 ..Female","1983 ..Male","1983 ..Female","1984 ..Male","1984 ..Female","1985 ..Male","1985 ..Female","1986 ..Male","1986 ..Female","1987 ..Male","1987 ..Female","1988 ..Male","1988 ..Female","1989 ..Male","1989 ..Female","1990 ..Male","1990 ..Female","1991 ..Male","1991 ..Female","1992 ..Male","1992 ..Female","1993 ..Male","1993 ..Female","1994 ..Male","1994 ..Female","1995 ..Male","1995 ..Female","1996 ..Male","1996 ..Female","1997 ..Male","1997 ..Female","1998 ..Male","1998 ..Female","1999 ..Male","1999 ..Female","2000 ..Male","2000 ..Female","2001 ..Male","2001 ..Female","2002 ..Male","2002 ..Female","2003 ..Male","2003 ..Female","2004 ..Male","2004 ..Female","2005 ..Male","2005 ..Female","2006 ..Male","2006 ..Female","2007 ..Male","2007 ..Female","2008 ..Male","2008 ..Female","2009 ..Male","2009 ..Female","2010 ..Male","2010 ..Female","2011 ..Male","2011 ..Female","2012 ..Male","2012 ..Female","2013 ..Male","2013 ..Female","2014 ..Male","2014 ..Female","2015 ..Male","2015 ..Female","2016 ..Male","2016 ..Female","2017 ..Male","2017 ..Female","2018 ..Male","2018 ..Female","2019 ..Male","2019 ..Female"
"Real Wage Rate","..Palay Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,104.90,97.68,112.25,104.47,105.92,103.22,109.39,106.14,109.69,98.76,95.21,85.92,93.98,89.55,91.65,87.22,93.90,91.01,95.66,88.68,93.07,89.22,89.91,84.45,93.39,85.57,100.45,98.90,99.75,95.29,100.40,95.56,103.34,96.90,106.13,100.84,148.54,139.50,160.69,153.42,153.89,148.21,161.39,153.09,161.28,157.72,216.64,206.85,229.05,208.01,250.07,205.87
"Real Wage Rate","..Palay Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,108.93,97.24,111.13,102.05,117.07,106.97,121.28,101.78,134.18,102.31,127.39,103.08,126.31,106.13,120.94,103.56,119.12,101.49,114.90,107.95,110.73,104.76,108.98,102.28,106.96,102.73,113.63,114.76,107.45,105.34,102.31,100.17,104.33,99.41,107.10,100.65,140.48,135.01,140.44,137.82,139.60,137.33,154.48,150.53,161.25,158.58,228.40,187.06,231.06,214.43,253.81,248.51
"Real Wage Rate","..Palay Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116.19,114.79,120.03,118.36,117.87,119.45,126.51,136.41,120.70,127.97,125.51,122.26,120.32,113.00,118.45,112.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Palay Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,121.12,115.08,122.35,111.15,114.88,106.75,113.78,105.79,115.55,110.30,122.66,120.09,116.94,113.47,119.62,117.42,120.80,117.67,128.53,126.36,172.98,168.77,170.92,165.64,160.76,155.68,172.71,166.51,174.12,167.46,234.90,236.50,244.83,238.88,269.18,242.07
"Real Wage Rate","..Palay Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,127.42,123.11,132.74,125.48,132.23,143.42,171.91,181.20,165.66,153.39,156.88,159.17,146.58,141.01,139.94,134.37,141.81,127.34,135.04,125.11,126.33,116.31,118.03,111.49,116.55,115.31,122.97,121.71,128.88,125.18,124.48,121.01,122.40,120.07,125.23,126.05,169.44,159.40,168.07,158.38,171.65,161.34,183.42,171.59,185.95,175.09,261.70,244.94,260.26,234.86,275.84,262.24
"Real Wage Rate","..Palay Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,125.45,113.90,131.45,117.76,129.64,110.94,127.09,122.54,119.29,116.16,112.63,124.83,112.24,116.26,111.45,112.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Palay Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,118.21,104.56,123.97,115.87,118.13,110.64,124.25,107.36,120.46,114.04,122.94,121.06,120.63,119.48,121.04,117.16,121.97,121.72,131.11,128.12,180.69,177.87,182.15,169.44,179.34,171.82,190.62,185.65,205.88,189.63,295.75,250.66,284.28,266.99,306.77,281.57
"Real Wage Rate","..Palay Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,118.67,105.29,135.12,125.93,147.97,128.54,157.10,151.87,150.82,137.26,142.97,133.36,142.54,129.19,138.37,126.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Palay Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,157.26,136.98,141.66,135.81,132.43,126.95,126.11,117.40,122.68,118.13,129.21,120.61,129.01,118.47,128.90,120.97,132.85,125.50,140.86,134.87,188.41,179.43,193.11,167.45,188.42,169.16,200.61,177.95,202.17,179.63,254.15,229.74,279.50,245.92,298.58,258.87
"Real Wage Rate","..Palay Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.96,117.10,136.28,121.03,126.84,116.40,127.08,143.51,135.07,129.92,124.66,111.73,130.12,116.46,128.38,113.10,126.08,112.71,125.79,120.81,126.07,119.39,125.66,116.79,124.91,114.13,122.39,117.91,118.48,114.29,125.26,121.24,133.89,127.89,140.08,132.70,182.55,171.15,187.78,178.96,185.68,177.57,199.97,193.67,200.72,194.11,311.30,319.42,301.48,303.69,297.87,298.24
"Real Wage Rate","..Palay Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,127.77,121.07,149.42,139.77,156.71,145.68,151.28,140.48,154.95,123.36,148.65,125.16,131.10,117.99,123.81,113.45,128.39,112.05,133.03,119.38,136.44,124.10,133.04,120.23,126.42,113.98,116.67,116.37,116.84,115.51,115.35,114.36,114.64,113.66,122.29,121.23,176.05,173.00,175.03,173.51,169.90,168.95,179.53,175.97,182.30,185.22,225.31,250.34,213.34,217.04,212.79,237.44
"Real Wage Rate","..Corn Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115.44,100.19,118.06,108.76,125.75,120.58,138.41,131.37,136.75,125.54,148.43,122.53,145.64,120.85,135.49,110.40,153.97,117.43,135.95,121.30,126.20,115.71,130.89,110.21,126.51,110.64,128.11,119.35,131.05,123.47,136.47,133.30,134.24,130.16,136.55,133.57,192.47,188.95,190.82,187.15,207.15,189.29,218.37,196.54,200.70,187.50,224.65,201.78,245.46,211.05,248.81,216.12
"Real Wage Rate","..Corn Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,118.61,109.41,129.34,110.63,132.40,119.16,130.20,115.76,125.11,112.55,137.48,128.11,132.42,125.19,124.08,114.10,116.62,106.11,121.18,108.20,121.87,111.70,123.76,108.15,119.31,109.86,122.58,115.36,121.60,119.59,126.76,122.16,132.80,119.39,133.97,126.92,183.78,172.80,206.97,189.34,206.64,184.37,208.23,189.09,205.79,196.22,266.38,219.70,264.84,222.20,266.76,251.63
"Real Wage Rate","..Corn Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,125.96,93.67,128.17,100.81,118.30,103.97,122.62,93.51,108.12,91.11,125.93,102.03,121.22,108.80,116.80,100.38,108.19,95.98,118.31,104.56,119.14,109.41,117.76,106.31,116.36,110.57,119.40,115.98,125.03,123.57,120.40,118.10,121.50,119.60,130.46,126.02,170.50,168.73,190.77,177.32,196.08,193.07,200.51,193.89,191.27,189.39,203.99,181.79,222.01,211.15,262.33,247.91
"Real Wage Rate","..Corn Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132.66,101.47,139.44,102.14,129.91,87.34,160.37,97.16,161.87,103.96,163.40,106.11,145.64,109.29,139.22,112.20,152.06,104.68,144.93,120.91,143.59,124.45,140.00,133.37,140.94,142.54,149.99,150.34,149.79,143.79,146.07,148.36,145.06,148.05,151.54,..,209.71,..,240.67,..,243.67,..,263.02,162.08,211.03,195.15,287.13,268.41,274.64,249.81,295.40,257.28
"Real Wage Rate","..Corn Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,136.16,109.65,146.24,111.78,158.71,118.73,154.45,129.12,146.62,128.98,138.80,123.14,133.66,121.12,124.71,106.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Corn Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129.59,89.66,128.86,..,140.51,98.98,135.99,..,132.47,111.97,130.97,..,130.11,118.02,136.04,137.81,131.50,123.00,137.37,128.00,178.11,..,189.80,169.62,211.45,186.34,215.58,189.56,214.59,207.37,300.01,289.47,310.36,313.91,331.34,325.06
"Real Wage Rate","..Corn Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.14,86.42,108.12,93.57,120.87,96.55,124.50,97.04,121.84,98.11,120.28,112.31,119.03,114.45,125.72,118.02,127.52,122.57,130.63,124.31,164.71,149.31,177.45,145.79,172.94,158.45,179.36,158.98,177.42,160.41,210.16,205.09,216.85,208.94,249.71,224.41
"Real Wage Rate","..Corn Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110.28,92.16,110.63,94.39,109.99,95.35,103.28,93.71,100.41,90.53,124.25,93.73,115.89,89.60,111.56,84.90,106.21,75.48,103.95,85.78,98.66,84.60,98.62,90.55,101.80,96.63,101.18,97.51,99.75,98.67,98.15,97.24,96.02,93.78,101.70,98.22,132.53,128.01,151.82,142.99,151.09,146.26,160.43,150.21,169.00,159.64,226.41,206.53,234.97,211.75,248.46,214.52
"Real Wage Rate","..Corn Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.96,77.25,111.39,87.67,113.58,91.44,113.00,91.07,102.44,87.32,112.75,89.86,106.49,91.73,104.72,83.91,107.29,87.50,109.70,92.18,109.07,92.69,109.29,98.08,112.57,103.11,114.55,109.68,110.43,107.69,106.61,105.84,104.48,106.35,108.23,106.56,139.88,137.85,148.99,143.32,150.31,142.85,149.80,143.16,145.24,147.89,241.35,198.64,233.50,198.99,230.19,216.60
"Real Wage Rate","..Corn Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.86,89.06,107.94,94.97,98.86,106.45,97.50,105.90,95.87,92.44,102.30,93.12,99.21,87.24,92.68,81.08,90.57,75.77,89.53,76.39,93.93,85.86,94.87,93.48,97.38,91.97,96.95,95.26,91.39,88.95,90.60,89.03,90.84,87.44,97.38,91.94,136.33,129.08,131.82,128.27,134.96,134.11,146.73,135.54,148.42,137.53,198.34,196.06,215.37,187.52,219.56,195.92
"Real Wage Rate","..Corn Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.04,88.79,98.32,93.87,99.42,88.15,101.83,92.96,105.94,84.77,99.09,85.43,96.76,90.92,95.08,85.03,88.35,82.15,91.94,80.38,104.48,84.80,103.64,90.88,101.80,93.01,99.36,96.12,90.94,89.81,87.81,87.08,88.47,87.45,95.60,92.30,125.33,120.22,130.01,119.81,129.27,122.80,163.11,141.42,158.59,145.32,192.42,186.11,190.18,214.76,226.27,220.06
"Real Wage Rate","..Corn Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110.41,100.06,111.03,102.14,103.07,106.68,108.20,99.99,106.09,107.18,124.71,93.43,118.39,90.01,113.30,86.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Corn Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,105.54,84.99,104.85,93.90,108.91,99.75,106.14,98.31,103.93,100.98,105.23,104.20,95.75,94.36,93.37,92.59,92.27,93.39,100.76,97.45,133.67,128.19,139.86,130.17,142.21,125.47,142.61,135.13,139.76,132.77,184.93,182.18,201.62,179.60,204.24,192.69
"Real Wage Rate","..Corn Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,119.31,113.95,123.72,118.24,120.75,107.25,124.03,104.04,114.99,105.00,126.06,109.92,118.39,103.90,111.04,94.96,107.52,97.74,106.64,100.83,106.57,101.17,106.31,108.53,105.32,103.38,106.06,104.41,106.10,102.36,103.22,98.44,100.46,95.67,101.86,98.74,133.73,130.40,132.80,129.24,130.31,127.37,131.39,128.34,131.01,129.63,190.08,199.96,185.19,183.82,202.05,201.73
"Real Wage Rate","..Corn Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,106.23,101.64,117.75,108.87,101.20,96.47,99.67,99.78,99.16,89.46,118.31,98.86,108.96,88.78,102.32,85.85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Corn Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99.85,86.98,99.61,92.22,102.91,99.98,102.82,98.50,100.64,97.51,99.07,98.71,97.22,95.60,93.41,91.61,92.38,89.07,95.75,92.87,130.01,124.42,127.95,119.47,130.80,124.67,133.87,123.60,134.47,128.75,218.10,221.57,218.55,218.35,244.94,242.83
"Real Wage Rate","..Corn Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,122.73,104.01,141.29,105.64,125.76,86.05,121.92,99.71,122.33,91.15,136.53,110.17,123.81,99.40,118.77,96.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Corn Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123.99,99.47,114.15,101.38,112.19,99.33,109.47,102.29,106.01,101.23,102.97,99.14,97.79,94.60,96.22,94.58,95.56,93.82,102.59,97.82,131.71,128.19,136.74,138.77,143.93,139.20,145.27,144.38,143.95,140.37,191.05,182.45,198.91,189.05,209.82,194.25
"Real Wage Rate","..Corn Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,112.07,97.35,124.29,111.65,116.64,105.48,108.35,106.50,119.37,104.68,121.93,118.72,128.44,111.05,123.42,107.00,129.00,108.05,123.78,109.43,124.44,113.00,119.45,112.27,113.98,107.96,112.04,106.20,107.57,102.48,104.78,100.35,106.46,103.70,107.22,104.31,145.98,143.17,158.17,148.15,166.70,155.49,170.08,162.15,163.98,151.49,226.04,221.13,255.37,239.86,256.86,256.30
"Real Wage Rate","..Corn Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116.63,117.20,138.09,133.63,139.66,112.98,146.14,131.01,140.99,133.84,157.75,149.02,138.10,112.07,129.50,105.86,121.67,98.36,120.71,107.24,128.53,119.05,123.06,116.63,114.40,109.43,109.30,105.76,103.22,101.06,104.12,105.48,99.63,101.53,104.49,103.22,147.56,145.40,153.43,146.91,158.12,147.10,164.27,152.17,155.11,147.47,199.34,208.13,194.53,187.82,191.86,195.87
"Real Wage Rate","..Coconut Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Coconut Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,145.54,131.02,142.97,127.33,146.96,..,148.15,120.49,142.08,..,156.62,..,167.41,100.00,156.63,..,156.41,..,144.16,..,136.80,..,137.43,..,133.11,..,130.01,..,137.72,..,133.37,..,131.72,..,131.24,..,205.46,..,259.25,..,240.94,..,245.93,..,246.95,..,250.63,..,230.59,..,290.66,..
"Real Wage Rate","..Coconut Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.69,..,103.26,..,125.86,..,121.63,..,135.09,121.87,133.22,125.05,133.64,117.65,137.86,..,132.37,..,141.16,..,128.36,121.64,122.69,..,121.91,..,120.35,..,177.81,..,202.51,155.36,187.96,150.83,189.40,..,190.25,..,343.77,..,329.19,..,366.09,..
"Real Wage Rate","..Coconut Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,137.20,..,142.92,..,156.81,..,180.29,..,168.10,..,169.25,..,162.00,..,140.43,..,154.44,..,178.57,..,169.90,..,175.79,133.77,167.50,..,176.14,..,174.23,..,167.88,..,162.77,..,159.49,..,228.68,..,229.11,..,223.52,..,237.78,..,240.59,220.39,286.70,..,275.17,..,301.17,280.58
"Real Wage Rate","..Coconut Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,135.13,122.33,131.90,118.51,128.60,119.14,138.02,115.98,137.25,115.50,162.80,130.20,137.12,136.89,154.99,118.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Coconut Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159.10,..,167.72,..,161.89,155.04,156.26,..,148.41,..,168.26,..,160.30,..,162.04,119.24,159.77,..,159.50,144.32,212.99,189.67,230.80,225.23,219.01,..,226.93,..,227.68,..,336.36,..,323.08,..,330.66,328.18
"Real Wage Rate","..Coconut Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133.03,113.73,133.44,119.54,132.85,127.96,133.67,115.85,128.94,117.49,130.82,127.46,126.99,119.63,130.40,116.71,128.24,125.53,126.34,121.27,166.53,153.95,178.81,164.59,173.84,154.16,174.86,155.83,176.18,158.09,258.39,203.66,263.16,213.59,340.93,337.23
"Real Wage Rate","..Coconut Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,130.70,121.01,133.66,116.13,110.25,93.55,125.00,103.51,127.67,89.09,126.66,84.03,115.34,90.91,123.54,81.55,126.04,91.41,116.65,93.58,111.74,82.00,111.46,..,107.25,..,108.29,..,105.20,..,100.80,..,103.44,102.99,105.78,..,148.79,..,143.96,140.15,141.38,..,152.49,..,181.86,140.30,239.26,250.66,300.32,233.93,292.84,278.48
"Real Wage Rate","..Coconut Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,108.16,104.83,108.19,103.94,90.16,85.93,116.28,99.88,110.90,70.29,102.23,72.46,102.96,81.43,97.61,82.97,103.64,99.62,110.13,80.62,107.17,78.74,105.35,80.14,104.88,85.56,114.21,102.09,110.49,103.53,106.00,99.38,105.27,103.70,102.91,100.64,143.25,130.51,140.90,129.27,138.98,134.86,148.46,150.52,149.86,..,256.90,248.92,257.09,275.58,270.70,302.80
"Real Wage Rate","..Coconut Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,114.66,103.62,115.25,102.87,108.72,..,149.71,106.50,134.01,112.44,126.65,90.62,121.29,99.72,116.20,78.93,112.57,92.52,108.18,89.29,104.63,75.92,99.34,77.33,98.75,84.19,108.89,98.95,99.53,92.04,98.67,92.93,97.50,96.06,102.88,97.30,140.46,..,164.92,146.04,158.23,148.25,159.83,159.81,161.35,..,217.32,178.54,230.24,174.26,234.75,234.20
"Real Wage Rate","..Coconut Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115.59,..,117.74,95.49,110.10,..,141.90,..,120.65,..,121.66,..,117.98,..,111.80,..,109.56,..,111.28,..,113.37,80.33,111.81,85.27,107.36,88.01,120.15,..,107.25,..,101.88,..,104.95,..,106.75,96.57,148.55,126.41,152.31,144.57,152.80,151.88,154.85,..,156.15,..,215.44,..,212.31,208.13,246.42,245.34
"Real Wage Rate","..Coconut Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.57,..,121.07,..,121.03,..,138.67,..,129.75,103.13,140.46,..,143.93,..,137.01,97.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Coconut Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123.95,..,124.96,127.93,118.61,112.41,119.67,116.83,116.19,113.50,113.78,113.53,101.23,100.65,98.29,97.74,100.04,100.02,100.31,100.12,136.94,129.40,158.40,140.94,147.08,142.87,148.32,145.81,149.41,145.71,209.85,188.96,212.60,173.05,226.43,211.97
"Real Wage Rate","..Coconut Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,130.72,115.49,132.27,111.53,148.91,111.89,132.41,106.48,123.05,..,120.55,..,124.57,..,117.87,94.25,116.29,100.58,116.92,97.34,123.64,101.65,124.82,107.85,118.53,108.79,120.61,113.17,118.17,102.26,117.18,98.06,114.42,108.10,114.22,105.18,152.03,138.83,165.10,135.51,157.17,140.98,159.95,154.84,160.23,155.22,230.42,197.25,240.66,210.31,234.96,233.57
"Real Wage Rate","..Coconut Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,112.30,..,114.62,101.03,124.95,97.19,139.00,96.24,116.90,93.17,130.73,85.60,130.82,95.05,123.87,91.26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
